50730,8002465,36.37854,127.42702,읍내동현대아파트
50810,8002259,36.400826,127.42294,와동현대아파트
52260,8002139,36.432716,127.42364,신탄진한일병원
52340,8001474,36.437904,127.42651,덕암동주민센터
52830,8001242,36.44492,127.429695,남경마을
52810,8002134,36.449253,127.42926,신탄진역
51710,8002132,36.450474,127.42504,신탄진시장
51740,8001631,36.448692,127.41095,목상동주민센터
51800,8003021,36.444664,127.40385,효성신탄진공장
51790,8001231,36.441734,127.40005,기흥기계
44840,8001283,36.431534,127.3872,북부여성가족원
44760,8002911,36.42913,127.38439,한마을아파트후문
44720,8002910,36.43031,127.383286,한마을아파트
44810,8001793,36.43535,127.3863,송강전통시장
44800,8001782,36.4376,127.386024,송강마을아파트
44490,8001783,36.448463,127.3846,봉산동기점
44790,8001178,36.437572,127.38576,송강마을아파트
44780,8001794,36.435646,127.386406,송강전통시장
44730,8002050,36.43245,127.38405,송강초등학교
44710,8001200,36.430603,127.38317,그린아파트
44740,8002909,36.42897,127.38423,한마을아파트
44850,8001284,36.429672,127.38678,북부여성가족원
51830,8001230,36.44141,127.40012,기흥기계
51860,8003020,36.444374,127.40408,효성신탄진공장
51750,8001632,36.44893,127.4121,목상동주민센터
51700,8002131,36.450222,127.42443,신탄진시장
52790,8002133,36.449863,127.42896,신탄진역
51720,8001241,36.44464,127.429405,남경마을
52330,8001473,36.438545,127.42649,덕암동주민센터
52270,8002140,36.43331,127.423805,신탄진한일병원
50800,8002093,36.400158,127.42283,신대주공아파트
50720,8002464,36.37835,127.426674,읍내동현대아파트
51140,8001430,36.372147,127.42838,대덕소방서
51410,8001721,36.366577,127.42988,법동전통시장
51440,8002609,36.362762,127.43095,중리동
11810,8002880,36.357193,127.43446,한국전력공사
11830,8001096,36.349014,127.43567,복합터미널
11970,8001994,36.34042,127.43501,성남네거리
12390,8001419,36.332737,127.431725,대전역
20060,8005994,36.32963,127.42796,으능정이거리
20790,8002252,36.322025,127.42955,오토바이거리
21090,8002743,36.316734,127.43257,한밭종합운동장
21130,8001789,36.312645,127.43552,부사오거리
20890,8001964,36.309402,127.44197,석교동행정복지센터
20930,8002981,36.3047,127.44926,호동
10400,8002833,36.301666,127.456375,은어송초등학교
20980,8002254,36.29909,127.45455,옥계동
45610,8070009,36.295856,127.319496,한아름아파트
40170,8005859,36.29725,127.32031,진잠타운아파트
80040,8005705,36.298817,127.32031,샘물타운
40110,8002352,36.299892,127.318565,원내동
40010,8002679,36.301,127.315384,진잠초등학교
40050,8002673,36.303165,127.316635,교촌초등학교
40140,8002574,36.303707,127.31874,제이파크아파트
